TID,Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,EPL,FAC,LC,UCL,UEL,Logo_url,Stadium_photo,Background,color1,color2
1,Arsenal ,Arsenal,London ,Emirates Stadium ,60361,51.555,-0.108611,13,13,2,0,0,,,,,
2,Aston Villa ,Aston Villa,Birmingham ,Villa Park ,42785,52.509167,-1.884722,7,7,5,1,0,,,,,
3,Blackburn Rovers ,Blackburn,Blackburn ,Ewood Park ,31154,53.728611,-2.489167,3,6,1,0,0,,,,,
4,Bolton Wanderers ,Bolton,Bolton ,Reebok Stadium ,28100,53.580556,-2.535556,0,4,0,0,0,,,,,
5,Chelsea ,Chelsea,London ,Stamford Bridge ,42449,51.481667,-0.191111,6,7,5,1,1,,,,,
6,Everton ,Everton,Liverpool ,Goodison Park ,40157,53.438889,-2.966389,9,5,0,0,0,,,,,
7,Fulham ,Fulham,London ,Craven Cottage ,25700,51.475,-0.221667,0,0,0,0,0,,,,,
8,Liverpool ,Liverpool,Liverpool ,Anfield ,45276,53.430819,-2.960828,18,7,8,5,3,/logos/liverpool.png,/stadiums/liverpool.jpg,,#E31B23,#B71515
9,Manchester City ,Man City,Manchester ,Etihad Stadium,47405,53.482989,-2.200292,4,5,4,0,0,,,,,
10,Manchester United ,Man United,Stretford ,Old Trafford ,75811,53.463056,-2.291389,20,12,5,3,1,,,,,
11,Newcastle United ,Newcastle,Newcastle upon Tyne ,Sports Direct Arena,52409,54.975556,-1.621667,4,6,0,0,0,,,,,
12,Norwich City ,Norwich,Norwich ,Carrow Road ,27010,52.622128,1.308653,0,0,2,0,0,,,,,
13,Queens Park Rangers ,QPR,London ,Loftus Road ,18439,51.509167,-0.232222,0,0,1,0,0,,,,,
14,Stoke City ,Stoke,Stoke-on-Trent ,Britannia Stadium ,27740,52.988333,-2.175556,0,0,1,0,0,,,,,
15,Sunderland ,Sunderland,Sunderland ,Stadium of Light ,48707,54.9144,-1.3882,6,2,0,0,0,,,,,
16,Swansea City ,Swansea,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,0,0,1,0,0,,,,,
17,Tottenham Hotspur ,Tottenham,London ,White Hart Lane ,36230,51.603333,-0.065833,2,8,4,0,2,,,,,
18,West Bromwich Albion ,West Brom,West Bromwich ,The Hawthorns ,27877,52.509167,-1.963889,1,5,1,0,0,,,,,
19,Wigan Athletic ,Wigan,Wigan ,DW Stadium ,25133,53.547778,-2.653889,0,1,0,0,0,,,,,
20,Wolverhampton Wanderers ,Wolves,Wolverhampton ,Molineux Stadium ,27828,52.590278,-2.130278,3,4,2,0,0,,,,,
21,Barnsley ,Barnsley,Barnsley ,Oakwell ,23009,53.552222,-1.4675,0,1,0,0,0,,,,,
22,Birmingham City ,Birmingham,Birmingham ,St Andrew's Stadium ,30079,52.475703,-1.868189,0,0,2,0,0,,,,,
23,Blackpool ,Blackpool,Blackpool ,Bloomfield Road ,16220,53.804722,-3.048056,0,1,0,0,0,,,,,
24,Brighton & Hove Albion ,Brighton,Brighton ,American Express Community Stadium ,22374,50.861822,-0.083278,0,0,0,0,0,,,,,
25,Bristol City ,Bristol City,Bristol ,Ashton Gate ,21497,51.44,-2.620278,0,0,0,0,0,,,,,
26,Burnley ,Burnley,Burnley ,Turf Moor ,22546,53.789167,-2.230278,2,1,0,0,0,,,,,
27,Cardiff City ,Cardiff,Cardiff ,Cardiff City Stadium ,26828,51.472778,-3.203056,0,1,0,0,0,,,,,
28,Coventry City ,Coventry,Coventry ,Ricoh Arena ,32609,52.448056,-1.495556,0,1,0,0,0,,,,,
29,Crystal Palace ,Crystal Palace,London ,Selhurst Park ,26309,51.398333,-0.085556,0,0,0,0,0,,,,,
30,Derby County ,Derby,Derby ,Pride Park Stadium ,33597,52.915,-1.447222,2,1,0,0,0,,,,,
31,Doncaster Rovers ,Doncaster,Doncaster ,Keepmoat Stadium ,15231,53.509722,-1.113889,0,0,0,0,0,,,,,
32,Hull City ,Hull,Kingston upon Hull ,KC Stadium ,25404,53.746111,-0.367778,0,0,0,0,0,,,,,
33,Ipswich Town ,Ipswich,Ipswich ,Portman Road ,30311,52.055061,1.144831,1,1,0,0,0,,,,,
34,Leeds United ,Leeds,Leeds ,Elland Road ,39460,53.777778,-1.572222,3,1,1,0,0,,,,,
35,Leicester City ,Leicester,Leicester ,King Power Stadium ,32500,52.620278,-1.142222,1,0,3,0,0,,,,,
36,Middlesbrough ,Middlesbrough,Middlesbrough ,Riverside Stadium ,34988,54.578333,-1.216944,0,0,1,0,0,,,,,
37,Millwall ,Millwall,London ,The Den ,20146,51.485953,-0.05095,0,0,0,0,0,,,,,
38,Nottingham Forest ,Nott'm Forest,Nottingham ,City Ground ,30576,52.94,-1.132778,1,2,4,2,0,,,,,
39,Peterborough United ,Peterboro,Peterborough ,London Road Stadium ,15460,52.564697,-0.240406,0,0,0,0,0,,,,,
40,Portsmouth ,Portsmouth,Portsmouth ,Fratton Park ,20224,50.796389,-1.063889,2,2,0,0,0,,,,,
41,Reading ,Reading,Reading ,Madejski Stadium ,24224,51.422222,-0.982778,0,0,0,0,0,,,,,
42,Southampton ,Southampton,Southampton ,St Mary's Stadium ,32689,50.905833,-1.391111,0,1,0,0,0,,,,,
43,Watford ,Watford,Watford ,Vicarage Road ,23500,51.649836,-0.401486,0,0,0,0,0,,,,,
44,West Ham United ,West Ham,London ,Boleyn Ground ,35303,51.531944,0.039444,0,3,0,0,0,,,,,
